Pri Key,Restaurant Key,Restaurant,Dish,Price,Ingredients (Copy Paste),Calories,Vegan,Vegetarian,Kosher,Keto,Plant Based,Pescaterian,Gluten Free,Low Carb,Low Sodium,Low Cholesteral,Contains Peanuts,Contains Treenuts,Contains Shellfish,,,,,,,,,
20,1,CoreLife Eatery,Chicken & Rice Noodle Soup,,"Rice noodles, corn, carrots, salt and pepper chicken, chicken broth",290,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
21,1,CoreLife Eatery,Power Plate,,"Purple rice, cucumber, corn, mandarin oranges, diced salt and pepper chicken",360,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
22,1,CoreLife Eatery,Cukes & Carrots,,"Romaine, cucumbers, carrots, salt and pepper chicken",150,0,0,1,1,,0,1,1,,,,,,,,,,,,,,
23,1,CoreLife Eatery,Build Your Own Bowl,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
24,2,Maize,Guacamole,$8.00 ,Served with chips.,,1,1,1,0,1,1,1,,0,,,,,,,,,,,,,
25,2,Maize,Nachos,$11.00 ,"Cheese, carne asada, chicken, al pastor , chorizo or veggie beans, cheese, sour cream, pico de gallo and guacamole.",,0,0,,0,0,0,0,,0,,,,,,,,,,,,,
26,2,Maize,Nachos No Meat,$9.00 ,"Tortilla Chips topped with beans, cheese, sour cream, pico de gallo and guacamole.",,0,1,,0,0,1,0,0,0,,,,,,,,,,,,,
27,2,Maize,Carne Asada (Steak) Taco,$3.50 ,Traditional skirt steak taco topped with onion and cilantro on a fresh hand made tortilla.,,0,0,1,0,0,0,"Corn torillas GF, Flour tortillas not GF",0,0,,,,,,,,,,,,,
28,2,Maize,Pastor (Pork) Taco,$3.00 ,Traditional Marinated Pork taco topped with onion and cilantro on a fresh hand made tortilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
29,2,Maize,Pollo (Chicken) Taco,$3.00 ,Traditional Chicken taco topped with onion and cilantro on a fresh hand made tortilla.,,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,
30,2,Maize,Chorizo Taco,$4.00 ,Traditional Mexican Sausage taco topped with onion and cilantro on a fresh handmade tortilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
31,2,Maize,Lomo (Ribeye) Taco,$4.00 ,Rib eye taco with onion and cilantro.,,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,
32,2,Maize,Pechuga (Chicken Breast) Taco,$4.00 ,Chicken breast taco with onion and cilantro on a fresh hand made tortilla.,,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,
33,2,Maize,Pescado (Fish) Taco,$4.00 ,Grilled fish taco topped with onion and cilantro on a fresh hand made tortilla.,,0,0,1,0,0,1,,0,0,,,,,,,,,,,,,
34,2,Maize,Veggie Taco,$3.00 ,"Rice, beans, lettuce, tomato, avocado and cheese on a fresh hand made tortilla.",,0,1,,0,0,1,,0,0,,,,,,,,,,,,,
35,2,Maize,Mexica Taco,$3.50 ,"Our most popular Taco with grilled cheese, onion and cilantro and choice of meat on a fresh handmade tortilla.",,0,,,0,0,1,,0,0,,,,,,,,,,,,,
36,2,Maize,Americana Taco,$3.50 ,"Lettuce, tomato and cheese and choice of meat on a fresh hand made tortilla.",,0,,,0,0,,,0,0,,,,,,,,,,,,,
37,2,Maize,Campesino Taco,$7.00 ,A large loaded taco with a choice of meat on a fresh hand made tortilla.,,0,,,0,0,,,0,0,,,,,,,,,,,,,
38,2,Maize,Pollo (Chicken) Flautas,$11.00 ,"Rolled fried chicken tacos with fresh hand made tortilla, Topped with guacamole, pico de gallo, lettuce, sour cream, cheese, rice and beans.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
39,2,Maize,Carne Asada (Steak) Flautas,$12.00 ,"Rolled fried skirt steak tacos with fresh hand made tortilla, Topped with guacamole, pico de gallo, lettuce, sour cream, cheese, rice and beans.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
40,2,Maize,Choripapa (Potato and Chorizo) Flautas,$11.00 ,"Rolled fried Potato and chorizo tacos with fresh hand made tortilla, topped with guacamole, pico de gallo, lettuce, sour cream, cheese, rice and beans.",,0,1,,0,0,1,,0,0,,,,,,,,,,,,,
41,2,Maize,Papa y Queso (Potato and Cheese) Flautas,$11.00 ,"Rolled fried Potato and cheese tacos with fresh hand made tortilla, Topped with guacamole, pico de gallo, lettuce, sour cream, cheese, rice and beans. Vegetarian",,0,1,,0,0,1,,0,0,,,,,,,,,,,,,
42,2,Maize,Carne Asada (Steak) Torta,$9.50 ,"Skirt Steak Mexican Sandwich, beans, lettuce, tomato, avocado, cheese, and sour cream.",,Milanesa,0,,0,0,0,0,0,0,,,,,,,,,,,,,
43,2,Maize,Torta Ahogada,$9.00 ,"Choice of meat covered with spicy sauce, beans, onion, tomato, avocado, cheese and sour cream.",,0,,,0,0,,0,0,0,,,,,,,,,,,,,
44,2,Maize,Milanese de Res (Breaded STeak) Torta,$8.50 ,"Breaded steak Mexican Sandwich, beans, lettuce, tomato, avocado, cheese and sour cream.",,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
45,2,Maize,Pastor (Pork) Torta,$8.50 ,"Marinated Pork Mexican Sandwich, beans, lettuce, tomato, avocado, cheese, and sour cream.",,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
46,2,Maize,Pollo (Chicken) Torta,$8.50 ,"Chicken Mexican Sandwich, beans, lettuce, tomato, avocado, cheese, and sour cream.",,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
47,2,Maize,Chorizo Torta,$8.50 ,"Sausage Mexican Sandwich, beans, lettuce, tomato, avocado, cheese, and sour cream.",,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
48,2,Maize,Vegitariana (Veggie) Torta,$8.50 ,"Veggie Mexican Sandwich, beans, rice, lettuce, tomato, avocado, cheese, and sour cream.",,0,1,,0,0,1,0,0,0,,,,,,,,,,,,,
49,2,Maize,Milanese de Pollo (Breaded Chicken) Torta,$8.50 ,"Breaded chicken breast Mexican Sandwich, beans, lettuce, tomato, avocado, cheese and sour cream.",,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,
50,2,Maize,Pez (Fish) Torta,$9.50 ,"Fish Mexican Sandwich, beans, lettuce, tomato, avocado, cheese and sour cream.",,0,0,,0,0,1,0,0,0,,,,,,,,,,,,,
51,2,Maize,Carne Asada (Steak) Quesadilla,$4.50 ,Grilled or fried Steak quesadilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
52,2,Maize,Pastor (Pork) Quesadilla,$4.00 ,Grilled or fried pork quesadilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
53,2,Maize,Pollo (Chicken) Quesadilla,$4.00 ,Grilled or fried Chicken quesadilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
54,2,Maize,Flor (Squash Blossom) Quesadilla,$4.00 ,Grilled or Fried Squash Blossom quesadilla. Vegetarian,,1,1,,0,1,1,,0,0,,,,,,,,,,,,,
55,2,Maize,Huitlacoche (Corn Mushroom) Quesadilla,$4.00 ,Grilled or Fried Corn Mushroom quesadilla. Vegetarian,,ji,0,,0,1,1,,0,0,,,,,,,,,,,,,
56,2,Maize,Hongos (Mushroom) Quesadilla,$4.00 ,Grilled or Fried Mushroom quesadilla. Vegetarian,,1,0,,0,1,1,,0,0,,,,,,,,,,,,,
57,2,Maize,Queso (Cheese) Quesadilla,$3.50 ,Grilled or fried Cheese quesadilla.,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
58,2,Maize,Pez (Fish) Quesadilla,$4.00 ,Grilled or fried Fish quesadilla.,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
59,2,Maize,Chorizo Quesadilla,$4.00 ,Grilled or fried Chicken quesadilla.,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
60,2,Maize,a,$9.00 ,"Grilled Skirt Steak, beans, lettuce, tomato, sour cream and cheese.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
61,2,Maize,Pastor (Pork) Burrito,$8.00 ,"Marinated Pork, beans, lettuce, tomato, sour cream and cheese.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
62,2,Maize,Pollo (Chicken) Burrito,$8.00 ,"Chicken, beans, lettuce, tomato, sour cream and cheese.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
63,2,Maize,Chorizo Burrito,$8.00 ,"Mexican Sausage, beans, lettuce, tomato, sour cream and cheese.",,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
64,2,Maize,Vegetariano (Veggie) Burrito,$9.00 ,"Veggie Burrito includes, beans, lettuce, tomato, Rice, Avocado, sour cream and cheese.",,0,1,,0,0,1,,0,0,,,,,,,,,,,,,
65,2,Maize,Carne Asada Gorditas,$4.50 ,"A hand made corn tortilla pocket stuffed with skirt Steak, beans, lettuce, tomato, cheese and sour cream.",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
66,2,Maize,Chicharron Gorditas,$5.00 ,"A hand made corn tortilla pocket stuffed with Pork back cooked for four hours and finished in a green sauce, beans, onions, cilantro and cheese. Pork lovers favorite!",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
67,2,Maize,Pastor (Pork) Gorditas,$4.00 ,"A hand made corn tortilla pocket stuffed with marinated pork, beans, lettuce, tomato, cheese and sour cream.",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
68,2,Maize,Pollo (Chicken) Gorditas,$4.00 ,"A hand made corn tortilla pocket stuffed with Chicken, beans, lettuce, tomato, cheese and sour cream.",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
69,2,Maize,Chorizo Gorditas,$4.00 ,"A hand made corn tortilla pocket stuffed with Mexican Sausage, beans, lettuce, tomato, cheese and sour cream.",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
70,2,Maize,Veggie Gorditas,$4.00 ,"A hand made corn tortilla pocket stuffed with rice, beans, lettuce, tomato, avocado, cheese and sour cream.",,0,1,,0,0,1,1,0,0,,,,,,,,,,,,,
71,2,Maize,Huarache,$4.50 ,"Grilled or fried. Choice of meat, beans, lettuce, tomato, cheese and sour cream.",,0,,,1,0,,,1,0,,,,,,,,,,,,,
72,2,Maize,Sope,$4.50 ,"Grilled or fried. Choice of meat, beans, lettuce, tomato, cheese and sour cream.",,0,,,1,0,,,1,0,,,,,,,,,,,,,
73,2,Maize,Tlacoyo,$4.00 ,"Tortilla stuffed with beans, topped with choice of meat, sour cream, cheese, cilantro and onion.",,0,,,0,0,,,0,0,,,,,,,,,,,,,
74,2,Maize,Tostada,$4.50 ,"Choice of meat, beans, lettuce, tomato, avocado, cheese and sour cream.",,0,,,0,0,,,0,0,,,,,,,,,,,,,
75,2,Maize,Volcan,$3.50 ,"Tostada with grilled cheese, onions, and cilantro and choice of meat.",,0,,,0,0,,,0,0,,,,,,,,,,,,,
76,2,Maize,Carne Asada Platillos,$16.00 ,"8oz Grilled steak meal, served with rice, beans, salad, tomato and fresh hand made tortillas.",,0,,,1,0,0,1,1,0,,,,,,,,,,,,,
77,2,Maize,Milanesa de Res (Breaded Steak Dinner),$14.50 ,"Breaded steak served with rice, beans, salad, tomato and fresh hand made tortillas.",,0,1,,0,0,0,,0,0,,,,,,,,,,,,,
78,2,Maize,Tampiqueña,$17.50 ,"8oz Grilled steak meal, served with rice, beans, green sauce enchilada, guacamole and fresh hand made tortillas.",,0,1,,1,0,0,1,1,0,,,,,,,,,,,,,
79,2,Maize,Fajitas de Pollo (Chicken Fajitas) Platillos,$15.00 ,"Chicken served with rice, beans, salad, tomato, sour cream and fresh hand made tortillas.",,0,,1,1,0,0,1,1,0,,,,,,,,,,,,,
80,2,Maize,Fajitas de Res (Beef Fajitas) Platillos,$16.00 ,"Beef fajitas, served with rice, beans, salad, tomato, sour cream and fresh hand made tortillas.",,0,,1,0,0,0,1,0,0,,,,,,,,,,,,,
81,2,Maize,Fajitas Veggie Platillos,$15.00 ,"Veggies served with rice, beans, salad, tomato, sour cream and fresh hand made tortillas.",,0,1,1,1,0,1,1,1,0,,,,,,,,,,,,,
82,2,Maize,Milanesa de Pollo (Breaded Chicken Breast Dinner),$14.50 ,"Breaded chicken breast served with rice, beans, salad, escabeche and fresh hand made tortillas.",,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,
83,2,Maize,Mega Tlacoyo Platillos,$15.00 ,"Blue Corn Tortilla stuffed with beans, topped 8oz Skirt Steak, grilled cheese, sour cream, añejo cheese, cilantro and onion.",,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,
84,2,Maize,Chile Relleno,$12.00 ,"Stuffed poblano pepper with white and anejo cheese served with rice, beans, salad, escabeche and fresh hand made tortillas.",,0,1,,1,0,1,1,1,0,,,,,,,,,,,,,
85,2,Maize,Enchiladas Verdes,$12.00 ,Green sauce enchiladas served rice and refried beans.,,1,1,1,0,1,1,1,0,0,,,,,,,,,,,,,
86,2,Maize,Extra Salsa 2oz,$0.50 ,Spicy or mild.,,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,
87,2,Maize,Rice & Beans,$3.50 ,Cooked with corn oil.,,1,1,1,0,1,1,1,0,0,,,,,,,,,,,,,
88,2,Maize,Salsa & Chips,$3.00 ,,,1,1,1,0,1,1,0,0,0,,,,,,,,,,,,,
89,2,Maize,Avocado,$3.00 ,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
90,2,Maize,Sour Cream,$1.50 ,,,0,1,,1,0,1,1,1,0,,,,,,,,,,,,,
91,2,Maize,Pico de Gallo,$1.50 ,"Fresh onion, cilantro, tomato, jalapeño and lime juice.",,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
92,2,Maize,Molcajete Salsa (Tomato Mild),$3.00 ,Our tasty and fresh tomato and jalapeño salsa.,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
93,2,Maize,Tomatillo Spicy,$3.00 ,"Our tasty and fresh tomatillo, chile de arbol and habanero salsa. SPICY",,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
94,2,Maize,Salsa Verde (Mild),$3.00 ,Our tasty and fresh tomatillo salsa verde. MILD,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
95,2,Maize,Horchata,$3.00 ,Rice water.,,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,
96,2,Maize,Jarritos,$2.50 ,Cane sugar Mexican soda.,,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,
97,2,Maize,Family Meal 2-3,$25.95 ,"Our family meal will come with a pound of your choice meat or vegetable along with six of our fresh handmade corn tortillas, a pint of our rice, a pint of refried beans, cilantro,…",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
98,2,Maize,Family Meal 4-6,$45.95 ,"Our family meal will come with two pounds of your choice meat or vegetable along with a dozen of our fresh handmade corn tortillas, a quart of our rice, a quart of refrie…",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
99,3,Sakanaya,Miso Soup,$2.00 ,"green onion, tofu & wakame",,1,1,,1,1,1,Cross contamination possibilities??,1,0,,,,,,,,,,,,,
100,3,Sakanaya,Edamame,$4.00 ,green soy beans,,1,1,,1,1,1,,1,1,,,,,,,,,,,,,
101,3,Sakanaya,Gyoza,$5.00 ,chicken & pork dumplings,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,
102,3,Sakanaya,Tofu Teriyaki,$5.00 ,,,1,1,,0,1,1,,1,0,,,,,,,,,,,,,
103,3,Sakanaya,Akedashi Tofu,$6.00 ,fried tofu with bonito & tempura sauce,,1,1,,0,1,1,,0,0,,,,,,,,,,,,,
104,3,Sakanaya,Shrimp Tempura (Dinner Only),$8.00 ,,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
105,3,Sakanaya,Shumai,$5.00 ,steamed shrimp dumplings,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
106,3,Sakanaya,Squid Karaage,$5.00 ,baby squid karaage skewer 3pcs,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
107,3,Sakanaya,Stuffed Jalapeños,$8.00 ,panko fried fresh jalapeños stuffed with spicy tuna & cream cheese 4pcs,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
108,3,Sakanaya,House Salad,$4.00 ,"crab, cucumber & avocado",,0,0,,0,0,1,,1,1,,,,,,,,,,,,,
109,3,Sakanaya,Seaweed Salad,$4.00 ,Seaweed Salad,,1,1,,0,1,1,,1,0,,,,,,,,,,,,,
110,3,Sakanaya,Sushi Sampler,$14.00 ,"eel, salmon, tuna, white tuna & yellow tail",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
111,3,Sakanaya,Sashimi 8pc,$14.00 ,chef's choice,,,,,1,,,,1,,,,,,,,,,,,,,
112,3,Sakanaya,Takosu,$8.00 ,octopus with vinegar sauce,,0,0,,1,0,1,,1,0,,,,,,,,,,,,,
113,3,Sakanaya,Willis Tower (Shareable),$13.00 ,"spicy tuna crab & avocado, spinach crunch & sushi rice",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
114,3,Sakanaya,Big Apple,,"salmon, crab, apple & avocado in cucumber (no rice)",,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
115,3,Sakanaya,Seared Salmon,$7.00 ,2 pcs seared salmon nigiri with mixed onion,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
116,3,Sakanaya,Albacore Tuna,$3.00 ,Tuna,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
117,3,Sakanaya,Eel,$4.00 ,unagi,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
118,3,Sakanaya,Egg,$2.50 ,tamago,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
119,3,Sakanaya,Fatty Salmon,$4.00 ,salmon otoro,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
120,3,Sakanaya,Fly Fish Roe,$3.00 ,tobiko,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
121,3,Sakanaya,Octopus,$3.50 ,tako,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
122,3,Sakanaya,Salmon,$3.00 ,sake,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
123,3,Sakanaya,Salmon Roe,$4.00 ,ikura,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
124,3,Sakanaya,Scallop,$4.00 ,hotate,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
125,3,Sakanaya,Sea Urchin,$6.00 ,uni,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
126,3,Sakanaya,Shrimp,$2.50 ,ebi,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
127,3,Sakanaya,Smoked Salmon,$3.00 ,Smoked Salmon,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
128,3,Sakanaya,Squid,$3.00 ,ika,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
129,3,Sakanaya,Tuna,$4.00 ,maguro,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
130,3,Sakanaya,White Tuna,$3.00 ,escolar,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
131,3,Sakanaya,Yellow Tail,$4.00 ,hamachi,,0,0,,1,0,1,,1,1,,,,,,,,,,,,,
132,3,Sakanaya,Alaskan,$6.00 ,"salmon, avocado & cucumber",,1,1,,1,1,1,,0,1,,,,,,,,,,,,,
133,3,Sakanaya,California,$6.00 ,"crab mix, avocado & cucumber",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
134,3,Sakanaya,Cali Crunch,$6.50 ,california roll with crunch flakes,,1,1,,0,1,1,,0,1,,,,,,,,,,,,,
135,3,Sakanaya,Una-Q,$8.00 ,eel & cucumber,,0,0,,1,0,1,,0,1,,,,,,,,,,,,,
136,3,Sakanaya,Philadelphia,$7.00 ,"smoked salmon, avocado & cream cheese",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
137,3,Sakanaya,Salmon or Tuna,$5.50 ,Salmon or Tuna,,0,0,,1,0,1,,0,1,,,,,,,,,,,,,
138,3,Sakanaya,Spicy Salmon or Spicy Tuna,$7.00 ,Salmon or Tuna with cucumber,,0,0,,1,0,1,,0,1,,,,,,,,,,,,,
139,3,Sakanaya,Shrimp Tempura,$7.00 ,Shrimp Tempura,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
140,3,Sakanaya,Vegetarian,$5.00 ,"first item $4 + additional $1 each (asparagus, avocado, cucumber, gobo, oshinko, shitake mushrooms)",,1,1,,,1,1,,0,1,,,,,,,,,,,,,
141,3,Sakanaya,Vege Vege,$6.00 ,"avocado, cucumber, asparagus, osinko",,1,1,,1,1,1,,0,1,,,,,,,,,,,,,
142,3,Sakanaya,I Love Salmon,$24.00 ,"4pc sushi, 4pc sashimi, salmon roll & spicy salmon roll",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
143,3,Sakanaya,I Love Sushi,$26.00 ,"10pc sushi, negi hamachi roll",,,,,0,,,,0,1,,,,,,,,,,,,,
144,3,Sakanaya,I Love Sashimi,$32.00 ,"15pc sashimi, chef's choice roll",,0,0,,0,0,,,0,1,,,,,,,,,,,,,
145,3,Sakanaya,Sushi & Sashimi Combo,$36.00 ,"6pc sushi, 10pc sashimi, shrimp tempura roll",,0,0,,0,0,,,0,0,,,,,,,,,,,,,
146,3,Sakanaya,Sakanaya Supreme,$58.00 ,"10pc sushi, 15pc sashimi, spicy tuna, spider roll",,0,0,,0,0,,,0,1,,,,,,,,,,,,,
147,3,Sakanaya,Alligator,$16.00 ,eel & shrimp tempura with almonds & avocado,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
148,3,Sakanaya,Brooklyn,$14.00 ,"yellowtail, cilantro, jalapeno, spicy tuna & spicy crab",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
149,3,Sakanaya,Champaign-Urbana,$12.00 ,deep-fried tuna with avocado & cream cheese,,0,0,,0,0,1,,0,0,,,,,,,,,,,,,
150,3,Sakanaya,Crunch Munch,$12.00 ,shrimp & spicy crab with crunch flakes,,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
151,3,Sakanaya,Fuji Mountain,$18.00 ,"salmon, tuna, crab, avocado, flying fish roe in soy paper",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
152,3,Sakanaya,Gold Rush 1848,$18.00 ,"grilled eel, spicy crab & grilled white tuna with avocado & gold flake",,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
153,3,Sakanaya,Green St. (Vegetarian),$10.00 ,"avocado, gobo, cucumber, asparagus, shiitake mushroom, spring mix, veggie crunch (5pcs)",,1,1,,0,1,1,,0,1,,,,,,,,,,,,,
154,3,Sakanaya,Kamikaze,$13.00 ,salmon & spicy tuna with cucumber & scallion,,0,0,,0,0,1,,0,1,,,,,,,,,,,,,
